Sc1,Sc2,Sc3,Sc4,Sc5,Sc6,Sa1,Sa2,Sa3,Sa4,Sa5,Sa6,LogEC50
0,28.446,139.36,15.592,10.414,0,0,0,12.27,28.839,52.219,4.941,5.00
0,28.446,139.36,15.592,10.414,0,0,0,0,0,40.456,12.354,3.52
0,28.446,139.36,15.592,10.414,0,0,0,0.412,43.204,58.533,0,3.48
0,28.446,139.36,15.592,10.414,0,0,0,14.789,32.698,40.084,10.306,5.00
0,5.886,177.185,21.688,0,0,0,0,0,0,40.456,12.354,5.13
0,5.886,177.185,21.688,0,0,0,0,0.412,43.204,58.533,0,4.34
0,5.886,177.185,21.688,0,0,0,0,1.097,65.466,59.552,0,5.00
0,38.167,76.331,6.086,0,0,0,0,25.184,21.315,71.307,0,3.00
0,22.764,116.733,8.12,7.572,0,0,12.08,7.469,12.759,63.931,6.083,3.76
0,2.941,243.547,65.108,0,0,0,0,25.184,21.315,71.307,0,2.64
0,4.963,228.281,55.819,0,0,0,0,55.268,70.128,62.047,0,2.44
0,29.918,121.714,13.798,7.958,0,0,0.018,21.834,26.419,41.067,14.521,4.76
0,29.918,121.714,13.798,7.958,0,0,0.011,22.745,46.162,39.784,12.793,4.58
0,29.918,121.714,13.798,7.958,0,0,7.057,24.474,36.652,51.581,11.344,4.66
0,29.918,121.714,13.798,7.958,0,0,0.039,31.339,62.628,38.214,13.73,4.80
0,20.161,131.121,10.825,8.34,0,0,0,0,0,58.629,0,5.11
0,20.025,174.461,47.649,8.169,0,0,0,0,0,58.629,0,3.47
0,15.271,195.736,66.164,3.35,0,0,0,0,0,58.629,0,2.76
0,20.008,223.584,112.162,7.729,0,0,0,0,0,58.629,0,0.37
0,29.71,173.784,55.748,15.342,0,0,0,0,0,58.629,0,2.99
0,43.602,168.34,64.757,23.018,0,0,0,0,0,58.629,0,1.80
0,2.163,265.397,76.063,0,0,0,0.02,60.999,86.586,40.024,10.339,2.44
0,2.163,265.397,76.063,0,0,0,0,66.876,79.378,41.164,11.527,2.38
0,2.163,265.397,76.063,0,0,0,0,35.622,65.92,38.629,13.645,2.59
0,2.163,265.397,76.063,0,0,0,0.012,22.785,46.466,39.055,13.265,2.48
0,2.163,265.397,76.063,0,0,0,0.047,31.309,62.663,38.403,13.624,2.58
0,2.163,265.397,76.063,0,0,0,16.527,57.277,70.304,55.988,15.831,2.37
0,2.163,265.397,76.063,0,0,0,13.119,43.92,48.802,59.637,12.049,2.45
0,22.764,116.733,8.12,7.572,0,0,0.02,60.999,86.586,40.024,10.339,2.80
0,22.764,116.733,8.12,7.572,0,0,0,66.876,79.378,41.164,11.527,2.63
0,22.764,116.733,8.12,7.572,0,0,13.119,43.92,48.802,59.637,12.049,2.72
